,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Arsenal,2,38,38,3420,48,1.26,189,143,.783,14,14,10,10,26.3,8,7,1,0
Aston Villa,4,38,38,3420,67,1.76,175,113,.646,9,8,21,7,18.4,6,5,1,0
Bournemouth,2,38,38,3420,65,1.71,182,122,.670,9,7,22,5,13.2,6,5,1,0
Brighton,1,38,38,3420,54,1.42,164,114,.683,9,14,15,9,23.7,2,2,0,0
Burnley,1,38,38,3420,50,1.32,159,112,.711,15,9,14,15,39.5,5,4,1,0
Chelsea,2,38,38,3420,54,1.42,115,65,.548,20,6,12,9,23.7,2,2,0,0
Crystal Palace,2,38,38,3420,50,1.32,169,120,.704,11,10,17,10,26.3,1,0,0,1
Everton,1,38,38,3420,56,1.47,145,95,.634,13,10,15,9,23.7,4,3,0,1
Leicester City,1,38,38,3420,41,1.08,126,95,.738,18,8,12,13,34.2,10,8,2,0
Liverpool,2,38,38,3418,33,0.87,107,75,.701,32,3,3,15,39.5,1,1,0,0
Manchester City,2,38,38,3418,35,0.92,107,73,.701,26,3,9,17,44.7,3,3,0,0
Manchester Utd,1,38,38,3420,36,0.95,125,92,.736,18,12,8,13,34.2,3,3,0,0
Newcastle Utd,1,38,38,3420,58,1.53,190,134,.705,11,11,16,11,28.9,2,2,0,0
Norwich City,3,38,38,3420,75,1.97,201,129,.647,5,6,27,5,13.2,7,4,3,0
Sheffield Utd,2,38,38,3420,39,1.03,141,103,.730,14,12,12,13,34.2,3,1,1,1
Southampton,2,38,38,3420,60,1.58,163,107,.650,15,7,16,9,23.7,4,3,1,0
Tottenham,2,38,38,3420,47,1.24,172,130,.756,16,11,11,8,21.1,7,5,2,0
Watford,1,38,38,3420,64,1.68,166,109,.663,8,10,20,9,23.7,9,8,1,0
West Ham,4,38,38,3420,62,1.63,178,124,.680,10,9,19,7,18.4,6,5,1,0
Wolves,1,38,38,3420,40,1.05,120,80,.675,15,14,9,13,34.2,3,1,2,0